"DateTime","Observed","Predicted Reported","Predicted Reported (low)","Predicted Reported (high)","Predicted Reported + Unreported","Predicted Reported + Unreported (low)","Predicted Reported + Unreported (high)"
"2021-03-01 00:00:00",80,4,4,4,9,9,9
"2021-03-02 00:00:00",42,5,5,5,10,10,10
"2021-03-03 00:00:00",35,5,5,5,11,11,11
"2021-03-04 00:00:00",54,6,6,6,12,12,12
"2021-03-05 00:00:00",79,7,7,7,14,14,14
"2021-03-06 00:00:00",64,7,7,7,15,15,15
"2021-03-07 00:00:00",65,8,8,8,17,17,17
"2021-03-08 00:00:00",71,10,10,10,20,20,20
"2021-03-09 00:00:00",60,11,11,11,22,22,22
"2021-03-10 00:00:00",39,12,12,12,25,25,25
"2021-03-11 00:00:00",58,13,13,13,28,28,28
"2021-03-12 00:00:00",81,15,15,15,31,31,31
"2021-03-13 00:00:00",78,16,16,16,34,34,34
"2021-03-14 00:00:00",170,18,18,18,38,38,38
"2021-03-15 00:00:00",78,20,20,20,42,42,42
"2021-03-16 00:00:00",149,22,22,22,46,46,46
"2021-03-17 00:00:00",248,24,24,24,51,51,51
"2021-03-18 00:00:00",92,27,27,27,56,56,56
"2021-03-19 00:00:00",100,30,30,30,62,62,62
"2021-03-20 00:00:00",119,33,33,33,68,68,68
"2021-03-21 00:00:00",90,36,36,36,75,75,75
"2021-03-22 00:00:00",73,39,39,39,82,82,82
"2021-03-23 00:00:00",401,43,43,43,90,90,90
"2021-03-24 00:00:00",69,47,47,47,99,99,99
"2021-03-25 00:00:00",97,52,52,52,108,108,108
"2021-03-26 00:00:00",134,57,57,57,119,119,119
"2021-03-27 00:00:00",80,62,62,62,130,130,130
"2021-03-28 00:00:00",77,68,68,68,142,142,142
"2021-03-29 00:00:00",39,74,74,74,156,156,156
"2021-03-30 00:00:00",48,82,82,82,170,170,170
"2021-03-31 00:00:00",42,89,89,89,186,186,186
"2021-04-01 00:00:00",26,97,97,97,204,204,204
"2021-04-02 00:00:00",58,107,107,107,223,223,223
"2021-04-03 00:00:00",84,116,116,116,244,244,244
"2021-04-04 00:00:00",96,127,127,127,266,266,266
"2021-04-05 00:00:00",194,139,139,139,291,291,291
"2021-04-06 00:00:00",250,152,152,152,318,318,318
"2021-04-07 00:00:00",334,166,166,166,347,347,347
"2021-04-08 00:00:00",405,181,181,181,379,379,379
"2021-04-09 00:00:00",559,198,198,198,414,414,414
"2021-04-10 00:00:00",789,216,216,216,452,452,452
"2021-04-11 00:00:00",967,236,236,236,494,494,494
"2021-04-12 00:00:00",985,257,257,257,539,539,539
"2021-04-13 00:00:00",965,281,281,281,588,588,588
"2021-04-14 00:00:00",1338,306,306,306,642,642,642
"2021-04-15 00:00:00",1543,334,334,334,700,700,700
"2021-04-16 00:00:00",1582,365,365,365,764,764,764
"2021-04-17 00:00:00",1547,398,398,398,834,834,834
"2021-04-18 00:00:00",1767,434,434,434,910,910,910
"2021-04-19 00:00:00",1390,474,474,474,992,992,992
"2021-04-20 00:00:00",1443,516,516,516,1082,1082,1082
"2021-04-21 00:00:00",1458,563,563,563,1180,1180,1180
"2021-04-22 00:00:00",1470,614,614,614,1287,1287,1287
"2021-04-23 00:00:00",2070,670,670,670,1404,1404,1404
"2021-04-24 00:00:00",2839,730,730,730,1531,1531,1531
"2021-04-25 00:00:00",2438,796,796,796,1669,1669,1669
"2021-04-26 00:00:00",2048,868,868,868,1819,1819,1819
"2021-04-27 00:00:00",2179,946,946,946,1984,1984,1984
"2021-04-28 00:00:00",2012,1031,1031,1031,2162,2162,2162
"2021-04-29 00:00:00",1871,1124,1124,1124,2357,2357,2357
"2021-04-30 00:00:00",1583,1225,1225,1225,2569,2569,2569
"2021-05-01 00:00:00",1891,1336,1336,1336,2800,2800,2800
"2021-05-02 00:00:00",1940,1455,1455,1455,3051,3051,3051
"2021-05-03 00:00:00",2041,1586,1586,1586,3325,3325,3325
"2021-05-04 00:00:00",1763,1728,1728,1728,3624,3624,3624
"2021-05-05 00:00:00",2112,1883,1883,1883,3949,3949,3949
"2021-05-06 00:00:00",1911,2052,2052,2052,4302,4302,4302
"2021-05-07 00:00:00",2044,2235,2235,2235,4687,4687,4687
"2021-05-08 00:00:00",2419,2435,2435,2435,5107,5107,5107
"2021-05-09 00:00:00",2101,2653,2653,2653,5563,5563,5563
"2021-05-10 00:00:00",1630,2890,2890,2890,6060,6060,6060
"2021-05-11 00:00:00",1919,3148,3148,3148,6601,6601,6601
"2021-05-12 00:00:00",1983,3429,3429,3429,7190,7190,7190
"2021-05-13 00:00:00",4887,3734,3734,3734,7831,7831,7831
"2021-05-14 00:00:00",2256,4066,4066,4066,8528,8528,8528
"2021-05-15 00:00:00",3095,4428,4428,4428,9286,9286,9286
"2021-05-16 00:00:00",2302,4822,4822,4822,10112,10112,10112
"2021-05-17 00:00:00",9635,5250,5250,5250,11010,11010,11010
"2021-05-18 00:00:00",2473,5715,5715,5715,11987,11987,11987
"2021-05-19 00:00:00",3394,6222,6222,6222,13049,13049,13049
"2021-05-20 00:00:00",2636,6773,6773,6773,14204,14204,14204
"2021-05-21 00:00:00",3481,7372,7372,7372,15461,15461,15461
"2021-05-22 00:00:00",3052,8023,8023,8023,16827,16827,16827
"2021-05-23 00:00:00",3382,8730,8730,8730,18311,18311,18311
"2021-05-24 00:00:00",2713,9500,9500,9500,19925,19925,19925
