"DateTime","Observed","Predicted Reported","Predicted Reported (low)","Predicted Reported (high)","Predicted Reported + Unreported","Predicted Reported + Unreported (low)","Predicted Reported + Unreported (high)"
"2021-03-01 00:00:00",80,4,4,4,9,9,9
"2021-03-02 00:00:00",42,5,5,5,10,10,10
"2021-03-03 00:00:00",35,5,5,5,11,11,11
"2021-03-04 00:00:00",54,6,6,6,12,12,12
"2021-03-05 00:00:00",79,7,7,7,14,14,14
"2021-03-06 00:00:00",64,7,7,7,15,15,15
"2021-03-07 00:00:00",65,8,8,8,17,17,17
"2021-03-08 00:00:00",71,10,10,10,20,20,20
"2021-03-09 00:00:00",60,11,11,11,22,22,22
"2021-03-10 00:00:00",39,12,12,12,25,25,25
"2021-03-11 00:00:00",58,13,13,13,28,28,28
"2021-03-12 00:00:00",81,15,15,15,31,31,31
"2021-03-13 00:00:00",78,16,16,16,34,34,34
"2021-03-14 00:00:00",170,18,18,18,38,38,38
"2021-03-15 00:00:00",78,20,20,20,42,42,42
"2021-03-16 00:00:00",149,22,22,22,46,46,46
"2021-03-17 00:00:00",248,25,25,25,51,51,51
"2021-03-18 00:00:00",92,27,27,27,56,56,56
"2021-03-19 00:00:00",100,30,30,30,62,62,62
"2021-03-20 00:00:00",119,33,33,33,68,68,68
"2021-03-21 00:00:00",90,36,36,36,75,75,75
"2021-03-22 00:00:00",73,39,39,39,82,82,82
"2021-03-23 00:00:00",401,43,43,43,90,90,90
"2021-03-24 00:00:00",69,47,47,47,99,99,99
"2021-03-25 00:00:00",97,52,52,52,109,109,109
"2021-03-26 00:00:00",134,57,57,57,119,119,119
"2021-03-27 00:00:00",80,62,62,62,131,131,131
"2021-03-28 00:00:00",77,68,68,68,143,143,143
"2021-03-29 00:00:00",39,75,75,75,157,157,157
"2021-03-30 00:00:00",48,82,82,82,172,172,172
"2021-03-31 00:00:00",42,89,89,89,188,188,188
"2021-04-01 00:00:00",26,98,98,98,205,205,205
"2021-04-02 00:00:00",58,107,107,107,225,225,225
"2021-04-03 00:00:00",84,117,117,117,246,246,246
"2021-04-04 00:00:00",96,128,128,128,268,268,268
"2021-04-05 00:00:00",194,140,140,140,293,293,293
"2021-04-06 00:00:00",250,152,152,152,321,321,321
"2021-04-07 00:00:00",334,167,167,167,350,350,350
"2021-04-08 00:00:00",405,182,182,182,383,383,383
"2021-04-09 00:00:00",559,199,199,199,418,418,418
"2021-04-10 00:00:00",789,217,217,217,457,457,457
"2021-04-11 00:00:00",967,237,237,237,498,498,498
"2021-04-12 00:00:00",985,258,258,258,544,544,544
"2021-04-13 00:00:00",965,282,282,282,594,594,594
"2021-04-14 00:00:00",1338,308,308,308,648,648,648
"2021-04-15 00:00:00",1543,336,336,336,708,708,708
"2021-04-16 00:00:00",1582,366,366,366,772,772,772
"2021-04-17 00:00:00",1547,400,400,400,842,842,842
"2021-04-18 00:00:00",1767,436,436,436,919,919,919
"2021-04-19 00:00:00",1390,475,475,475,1003,1003,1003
"2021-04-20 00:00:00",1443,518,518,518,1094,1094,1094
"2021-04-21 00:00:00",1458,565,565,565,1193,1193,1193
"2021-04-22 00:00:00",1470,616,616,616,1301,1301,1301
"2021-04-23 00:00:00",2070,672,672,672,1418,1418,1418
"2021-04-24 00:00:00",2839,733,733,733,1547,1547,1547
"2021-04-25 00:00:00",2438,799,799,799,1686,1686,1686
"2021-04-26 00:00:00",2048,871,871,871,1838,1838,1838
"2021-04-27 00:00:00",2179,949,949,949,2004,2004,2004
"2021-04-28 00:00:00",2012,1034,1034,1034,2184,2184,2184
"2021-04-29 00:00:00",1871,1127,1127,1127,2380,2380,2380
"2021-04-30 00:00:00",1583,1228,1228,1228,2594,2594,2594
"2021-05-01 00:00:00",1891,1338,1338,1338,2827,2827,2827
"2021-05-02 00:00:00",1940,1458,1458,1458,3080,3080,3080
"2021-05-03 00:00:00",2041,1588,1588,1588,3356,3356,3356
"2021-05-04 00:00:00",1763,1730,1730,1730,3656,3656,3656
"2021-05-05 00:00:00",2112,1884,1884,1884,3983,3983,3983
"2021-05-06 00:00:00",1911,2052,2052,2052,4339,4339,4339
"2021-05-07 00:00:00",2044,2235,2235,2235,4726,4726,4726
"2021-05-08 00:00:00",2419,2434,2434,2434,5147,5147,5147
"2021-05-09 00:00:00",2101,2650,2650,2650,5605,5605,5605
"2021-05-10 00:00:00",1630,2886,2886,2886,6103,6103,6103
"2021-05-11 00:00:00",1919,3142,3142,3142,6646,6646,6646
"2021-05-12 00:00:00",1983,3420,3420,3420,7236,7236,7236
"2021-05-13 00:00:00",4887,3723,3723,3723,7877,7877,7877
"2021-05-14 00:00:00",2256,4053,4053,4053,8575,8575,8575
"2021-05-15 00:00:00",3095,4411,4411,4411,9334,9334,9334
"2021-05-16 00:00:00",2302,4800,4800,4800,10159,10159,10159
"2021-05-17 00:00:00",9635,5223,5223,5223,11056,11056,11056
"2021-05-18 00:00:00",2473,5683,5683,5683,12030,12030,12030
"2021-05-19 00:00:00",3394,6183,6183,6183,13090,13090,13090
"2021-05-20 00:00:00",2636,6727,6727,6727,14241,14241,14241
"2021-05-21 00:00:00",3481,7317,7317,7317,15492,15492,15492
"2021-05-22 00:00:00",3052,7958,7958,7958,16850,16850,16850
"2021-05-23 00:00:00",3382,8654,8654,8654,18326,18326,18326
"2021-05-24 00:00:00",2713,9410,9410,9410,19928,19928,19928
