"DateTime","Hospital Surge Beds","Max Hospital Beds","ICU Beds","Max ICU Beds","Ventilators","Max Ventilators"
"2021-03-01 00:00:00",0,300000,0,46000,0,10000
"2021-03-02 00:00:00",0,300000,0,46000,0,10000
"2021-03-03 00:00:00",0,300000,0,46000,0,10000
"2021-03-04 00:00:00",1,300000,0,46000,0,10000
"2021-03-05 00:00:00",1,300000,0,46000,0,10000
"2021-03-06 00:00:00",1,300000,0,46000,0,10000
"2021-03-07 00:00:00",2,300000,0,46000,0,10000
"2021-03-08 00:00:00",2,300000,0,46000,1,10000
"2021-03-09 00:00:00",3,300000,0,46000,1,10000
"2021-03-10 00:00:00",3,300000,0,46000,1,10000
"2021-03-11 00:00:00",4,300000,0,46000,1,10000
"2021-03-12 00:00:00",4,300000,0,46000,1,10000
"2021-03-13 00:00:00",5,300000,1,46000,1,10000
"2021-03-14 00:00:00",5,300000,1,46000,1,10000
"2021-03-15 00:00:00",6,300000,1,46000,2,10000
"2021-03-16 00:00:00",7,300000,1,46000,2,10000
"2021-03-17 00:00:00",7,300000,1,46000,2,10000
"2021-03-18 00:00:00",8,300000,1,46000,2,10000
"2021-03-19 00:00:00",9,300000,1,46000,2,10000
"2021-03-20 00:00:00",10,300000,1,46000,3,10000
"2021-03-21 00:00:00",11,300000,1,46000,3,10000
"2021-03-22 00:00:00",12,300000,1,46000,3,10000
"2021-03-23 00:00:00",13,300000,2,46000,4,10000
"2021-03-24 00:00:00",14,300000,2,46000,4,10000
"2021-03-25 00:00:00",16,300000,2,46000,4,10000
"2021-03-26 00:00:00",17,300000,2,46000,5,10000
"2021-03-27 00:00:00",19,300000,2,46000,5,10000
"2021-03-28 00:00:00",20,300000,3,46000,6,10000
"2021-03-29 00:00:00",22,300000,3,46000,6,10000
"2021-03-30 00:00:00",24,300000,3,46000,7,10000
"2021-03-31 00:00:00",26,300000,3,46000,7,10000
"2021-04-01 00:00:00",29,300000,4,46000,8,10000
"2021-04-02 00:00:00",31,300000,4,46000,9,10000
"2021-04-03 00:00:00",34,300000,4,46000,10,10000
"2021-04-04 00:00:00",37,300000,5,46000,11,10000
"2021-04-05 00:00:00",40,300000,5,46000,11,10000
"2021-04-06 00:00:00",44,300000,6,46000,13,10000
"2021-04-07 00:00:00",48,300000,6,46000,14,10000
"2021-04-08 00:00:00",52,300000,7,46000,15,10000
"2021-04-09 00:00:00",57,300000,7,46000,16,10000
"2021-04-10 00:00:00",62,300000,8,46000,18,10000
"2021-04-11 00:00:00",67,300000,9,46000,19,10000
"2021-04-12 00:00:00",73,300000,9,46000,21,10000
"2021-04-13 00:00:00",80,300000,10,46000,23,10000
"2021-04-14 00:00:00",87,300000,11,46000,25,10000
"2021-04-15 00:00:00",95,300000,12,46000,27,10000
"2021-04-16 00:00:00",103,300000,13,46000,29,10000
"2021-04-17 00:00:00",112,300000,14,46000,32,10000
"2021-04-18 00:00:00",122,300000,16,46000,35,10000
"2021-04-19 00:00:00",133,300000,17,46000,38,10000
"2021-04-20 00:00:00",145,300000,19,46000,42,10000
"2021-04-21 00:00:00",158,300000,20,46000,45,10000
"2021-04-22 00:00:00",172,300000,22,46000,49,10000
"2021-04-23 00:00:00",188,300000,24,46000,54,10000
"2021-04-24 00:00:00",205,300000,26,46000,59,10000
"2021-04-25 00:00:00",223,300000,29,46000,64,10000
"2021-04-26 00:00:00",243,300000,31,46000,70,10000
"2021-04-27 00:00:00",265,300000,34,46000,76,10000
"2021-04-28 00:00:00",289,300000,37,46000,83,10000
"2021-04-29 00:00:00",314,300000,40,46000,90,10000
"2021-04-30 00:00:00",343,300000,44,46000,98,10000
"2021-05-01 00:00:00",373,300000,48,46000,107,10000
"2021-05-02 00:00:00",407,300000,52,46000,116,10000
"2021-05-03 00:00:00",443,300000,57,46000,127,10000
"2021-05-04 00:00:00",483,300000,62,46000,138,10000
"2021-05-05 00:00:00",526,300000,68,46000,151,10000
"2021-05-06 00:00:00",573,300000,74,46000,164,10000
"2021-05-07 00:00:00",625,300000,80,46000,179,10000
"2021-05-08 00:00:00",681,300000,88,46000,195,10000
"2021-05-09 00:00:00",742,300000,95,46000,212,10000
