"DateTime","Observed","Predicted Reported","Predicted Reported (low)","Predicted Reported (high)","Predicted Reported + Unreported","Predicted Reported + Unreported (low)","Predicted Reported + Unreported (high)"
"2021-03-01 00:00:00",80,4,4,4,9,9,9
"2021-03-02 00:00:00",42,5,5,5,10,10,10
"2021-03-03 00:00:00",35,5,5,5,11,11,11
"2021-03-04 00:00:00",54,6,6,6,12,12,12
"2021-03-05 00:00:00",79,7,7,7,14,14,14
"2021-03-06 00:00:00",64,8,8,8,16,16,16
"2021-03-07 00:00:00",65,9,9,9,18,18,18
"2021-03-08 00:00:00",71,10,10,10,20,20,20
"2021-03-09 00:00:00",60,11,11,11,22,22,22
"2021-03-10 00:00:00",39,12,12,12,25,25,25
"2021-03-11 00:00:00",58,14,14,14,28,28,28
"2021-03-12 00:00:00",81,15,15,15,31,31,31
"2021-03-13 00:00:00",78,17,17,17,35,35,35
"2021-03-14 00:00:00",170,19,19,19,39,39,39
"2021-03-15 00:00:00",78,21,21,21,43,43,43
"2021-03-16 00:00:00",149,23,23,23,47,47,47
"2021-03-17 00:00:00",248,25,25,25,52,52,52
"2021-03-18 00:00:00",92,28,28,28,58,58,58
"2021-03-19 00:00:00",100,31,31,31,64,64,64
"2021-03-20 00:00:00",119,34,34,34,71,71,71
"2021-03-21 00:00:00",90,37,37,37,78,78,78
"2021-03-22 00:00:00",73,41,41,41,86,86,86
"2021-03-23 00:00:00",401,45,45,45,94,94,94
"2021-03-24 00:00:00",69,50,50,50,104,104,104
"2021-03-25 00:00:00",97,55,55,55,114,114,114
"2021-03-26 00:00:00",134,60,60,60,126,126,126
"2021-03-27 00:00:00",80,66,66,66,138,138,138
"2021-03-28 00:00:00",77,73,73,73,152,152,152
"2021-03-29 00:00:00",39,80,80,80,167,167,167
"2021-03-30 00:00:00",48,88,88,88,184,184,184
"2021-03-31 00:00:00",42,96,96,96,202,202,202
"2021-04-01 00:00:00",26,106,106,106,222,222,222
"2021-04-02 00:00:00",58,116,116,116,243,243,243
"2021-04-03 00:00:00",84,127,127,127,267,267,267
"2021-04-04 00:00:00",96,140,140,140,293,293,293
"2021-04-05 00:00:00",194,154,154,154,322,322,322
"2021-04-06 00:00:00",250,169,169,169,353,353,353
"2021-04-07 00:00:00",334,185,185,185,388,388,388
"2021-04-08 00:00:00",405,203,203,203,426,426,426
"2021-04-09 00:00:00",559,223,223,223,467,467,467
"2021-04-10 00:00:00",789,244,244,244,513,513,513
"2021-04-11 00:00:00",967,268,268,268,562,562,562
"2021-04-12 00:00:00",985,294,294,294,617,617,617
"2021-04-13 00:00:00",965,322,322,322,677,677,677
"2021-04-14 00:00:00",1338,354,354,354,742,742,742
"2021-04-15 00:00:00",1543,388,388,388,814,814,814
"2021-04-16 00:00:00",1582,425,425,425,893,893,893
"2021-04-17 00:00:00",1547,466,466,466,980,980,980
"2021-04-18 00:00:00",1767,511,511,511,1074,1074,1074
"2021-04-19 00:00:00",1390,561,561,561,1178,1178,1178
"2021-04-20 00:00:00",1443,615,615,615,1292,1292,1292
"2021-04-21 00:00:00",1458,674,674,674,1417,1417,1417
"2021-04-22 00:00:00",1470,740,740,740,1554,1554,1554
"2021-04-23 00:00:00",2070,811,811,811,1704,1704,1704
"2021-04-24 00:00:00",2839,889,889,889,1869,1869,1869
"2021-04-25 00:00:00",2438,975,975,975,2049,2049,2049
"2021-04-26 00:00:00",2048,1069,1069,1069,2247,2247,2247
"2021-04-27 00:00:00",2179,1172,1172,1172,2464,2464,2464
"2021-04-28 00:00:00",2012,1285,1285,1285,2702,2702,2702
"2021-04-29 00:00:00",1871,1409,1409,1409,2962,2962,2962
"2021-04-30 00:00:00",1583,1545,1545,1545,3248,3248,3248
"2021-05-01 00:00:00",1891,1694,1694,1694,3561,3561,3561
"2021-05-02 00:00:00",1940,1857,1857,1857,3904,3904,3904
"2021-05-03 00:00:00",2041,2035,2035,2035,4280,4280,4280
"2021-05-04 00:00:00",1763,2231,2231,2231,4693,4693,4693
"2021-05-05 00:00:00",2112,2446,2446,2446,5144,5144,5144
"2021-05-06 00:00:00",1911,2681,2681,2681,5639,5639,5639
"2021-05-07 00:00:00",2044,2939,2939,2939,6182,6182,6182
"2021-05-08 00:00:00",2419,3221,3221,3221,6776,6776,6776
"2021-05-09 00:00:00",2101,3531,3531,3531,7428,7428,7428
"2021-05-10 00:00:00",1630,3870,3870,3870,8142,8142,8142
"2021-05-11 00:00:00",1919,4242,4242,4242,8924,8924,8924
"2021-05-12 00:00:00",1983,4648,4648,4648,9780,9780,9780
"2021-05-13 00:00:00",4887,5094,5094,5094,10719,10719,10719
"2021-05-14 00:00:00",2256,5582,5582,5582,11747,11747,11747
"2021-05-15 00:00:00",3095,6117,6117,6117,12872,12872,12872
"2021-05-16 00:00:00",2302,6703,6703,6703,14105,14105,14105
"2021-05-17 00:00:00",9635,7344,7344,7344,15455,15455,15455
"2021-05-18 00:00:00",2473,8045,8045,8045,16932,16932,16932
"2021-05-19 00:00:00",3394,8813,8813,8813,18549,18549,18549
"2021-05-20 00:00:00",2636,9654,9654,9654,20320,20320,20320
"2021-05-21 00:00:00",3481,10574,10574,10574,22256,22256,22256
"2021-05-22 00:00:00",3052,11580,11580,11580,24375,24375,24375
"2021-05-23 00:00:00",3382,12680,12680,12680,26693,26693,26693
"2021-05-24 00:00:00",2713,13884,13884,13884,29228,29228,29228
