"DateTime","Hospital Surge Beds","Max Hospital Beds","ICU Beds","Max ICU Beds","Ventilators","Max Ventilators"
"2021-03-01 00:00:00",0,300000,0,46000,0,10000
"2021-03-02 00:00:00",0,300000,0,46000,0,10000
"2021-03-03 00:00:00",0,300000,0,46000,0,10000
"2021-03-04 00:00:00",1,300000,0,46000,0,10000
"2021-03-05 00:00:00",1,300000,0,46000,0,10000
"2021-03-06 00:00:00",1,300000,0,46000,0,10000
"2021-03-07 00:00:00",2,300000,0,46000,0,10000
"2021-03-08 00:00:00",2,300000,0,46000,1,10000
"2021-03-09 00:00:00",3,300000,0,46000,1,10000
"2021-03-10 00:00:00",3,300000,0,46000,1,10000
"2021-03-11 00:00:00",4,300000,0,46000,1,10000
"2021-03-12 00:00:00",4,300000,0,46000,1,10000
"2021-03-13 00:00:00",5,300000,1,46000,1,10000
"2021-03-14 00:00:00",5,300000,1,46000,1,10000
"2021-03-15 00:00:00",6,300000,1,46000,2,10000
"2021-03-16 00:00:00",7,300000,1,46000,2,10000
"2021-03-17 00:00:00",7,300000,1,46000,2,10000
"2021-03-18 00:00:00",8,300000,1,46000,2,10000
"2021-03-19 00:00:00",9,300000,1,46000,2,10000
"2021-03-20 00:00:00",10,300000,1,46000,3,10000
"2021-03-21 00:00:00",11,300000,1,46000,3,10000
"2021-03-22 00:00:00",12,300000,1,46000,3,10000
"2021-03-23 00:00:00",13,300000,2,46000,4,10000
"2021-03-24 00:00:00",15,300000,2,46000,4,10000
"2021-03-25 00:00:00",16,300000,2,46000,4,10000
"2021-03-26 00:00:00",17,300000,2,46000,5,10000
"2021-03-27 00:00:00",19,300000,2,46000,5,10000
"2021-03-28 00:00:00",21,300000,3,46000,6,10000
"2021-03-29 00:00:00",23,300000,3,46000,6,10000
"2021-03-30 00:00:00",25,300000,3,46000,7,10000
"2021-03-31 00:00:00",27,300000,3,46000,8,10000
"2021-04-01 00:00:00",30,300000,4,46000,8,10000
"2021-04-02 00:00:00",32,300000,4,46000,9,10000
"2021-04-03 00:00:00",35,300000,5,46000,10,10000
"2021-04-04 00:00:00",39,300000,5,46000,11,10000
"2021-04-05 00:00:00",42,300000,5,46000,12,10000
"2021-04-06 00:00:00",46,300000,6,46000,13,10000
"2021-04-07 00:00:00",50,300000,6,46000,14,10000
"2021-04-08 00:00:00",55,300000,7,46000,16,10000
"2021-04-09 00:00:00",60,300000,8,46000,17,10000
"2021-04-10 00:00:00",66,300000,8,46000,19,10000
"2021-04-11 00:00:00",72,300000,9,46000,21,10000
"2021-04-12 00:00:00",79,300000,10,46000,22,10000
"2021-04-13 00:00:00",86,300000,11,46000,25,10000
"2021-04-14 00:00:00",94,300000,12,46000,27,10000
"2021-04-15 00:00:00",103,300000,13,46000,29,10000
"2021-04-16 00:00:00",113,300000,14,46000,32,10000
"2021-04-17 00:00:00",124,300000,16,46000,35,10000
"2021-04-18 00:00:00",135,300000,17,46000,39,10000
"2021-04-19 00:00:00",148,300000,19,46000,42,10000
"2021-04-20 00:00:00",162,300000,21,46000,46,10000
"2021-04-21 00:00:00",178,300000,23,46000,51,10000
"2021-04-22 00:00:00",194,300000,25,46000,55,10000
"2021-04-23 00:00:00",213,300000,27,46000,61,10000
"2021-04-24 00:00:00",233,300000,30,46000,66,10000
"2021-04-25 00:00:00",255,300000,33,46000,73,10000
"2021-04-26 00:00:00",280,300000,36,46000,80,10000
"2021-04-27 00:00:00",306,300000,39,46000,87,10000
"2021-04-28 00:00:00",336,300000,43,46000,95,10000
"2021-04-29 00:00:00",368,300000,47,46000,105,10000
"2021-04-30 00:00:00",403,300000,51,46000,114,10000
"2021-05-01 00:00:00",441,300000,56,46000,125,10000
"2021-05-02 00:00:00",483,300000,62,46000,137,10000
"2021-05-03 00:00:00",530,300000,68,46000,151,10000
"2021-05-04 00:00:00",580,300000,74,46000,165,10000
"2021-05-05 00:00:00",636,300000,81,46000,181,10000
"2021-05-06 00:00:00",697,300000,89,46000,198,10000
"2021-05-07 00:00:00",763,300000,97,46000,217,10000
"2021-05-08 00:00:00",836,300000,107,46000,238,10000
"2021-05-09 00:00:00",916,300000,117,46000,260,10000
