"DateTime","Observed","Predicted Reported","Predicted Reported (low)","Predicted Reported (high)","Predicted Reported + Unreported","Predicted Reported + Unreported (low)","Predicted Reported + Unreported (high)"
"2021-03-01 00:00:00",80,4,4,4,9,9,9
"2021-03-02 00:00:00",42,5,5,5,10,10,10
"2021-03-03 00:00:00",35,5,5,5,11,11,11
"2021-03-04 00:00:00",54,6,6,6,12,12,12
"2021-03-05 00:00:00",79,7,7,7,14,14,14
"2021-03-06 00:00:00",64,8,8,8,16,16,16
"2021-03-07 00:00:00",65,9,9,9,18,18,18
"2021-03-08 00:00:00",71,10,10,10,20,20,20
"2021-03-09 00:00:00",60,11,11,11,22,22,22
"2021-03-10 00:00:00",39,12,12,12,25,25,25
"2021-03-11 00:00:00",58,14,14,14,28,28,28
"2021-03-12 00:00:00",81,15,15,15,31,31,31
"2021-03-13 00:00:00",78,17,17,17,35,35,35
"2021-03-14 00:00:00",170,19,19,19,39,39,39
"2021-03-15 00:00:00",78,21,21,21,43,43,43
"2021-03-16 00:00:00",149,23,23,23,47,47,47
"2021-03-17 00:00:00",248,25,25,25,53,53,53
"2021-03-18 00:00:00",92,28,28,28,58,58,58
"2021-03-19 00:00:00",100,31,31,31,64,64,64
"2021-03-20 00:00:00",119,34,34,34,71,71,71
"2021-03-21 00:00:00",90,37,37,37,78,78,78
"2021-03-22 00:00:00",73,41,41,41,86,86,86
"2021-03-23 00:00:00",401,45,45,45,95,95,95
"2021-03-24 00:00:00",69,50,50,50,104,104,104
"2021-03-25 00:00:00",97,55,55,55,115,115,115
"2021-03-26 00:00:00",134,60,60,60,126,126,126
"2021-03-27 00:00:00",80,66,66,66,139,139,139
"2021-03-28 00:00:00",77,73,73,73,152,152,152
"2021-03-29 00:00:00",39,80,80,80,167,167,167
"2021-03-30 00:00:00",48,88,88,88,184,184,184
"2021-03-31 00:00:00",42,97,97,97,202,202,202
"2021-04-01 00:00:00",26,106,106,106,222,222,222
"2021-04-02 00:00:00",58,117,117,117,244,244,244
"2021-04-03 00:00:00",84,128,128,128,267,267,267
"2021-04-04 00:00:00",96,141,141,141,294,294,294
"2021-04-05 00:00:00",194,154,154,154,322,322,322
"2021-04-06 00:00:00",250,169,169,169,354,354,354
"2021-04-07 00:00:00",334,186,186,186,388,388,388
"2021-04-08 00:00:00",405,204,204,204,426,426,426
"2021-04-09 00:00:00",559,224,224,224,467,467,467
"2021-04-10 00:00:00",789,245,245,245,513,513,513
"2021-04-11 00:00:00",967,269,269,269,563,563,563
"2021-04-12 00:00:00",985,295,295,295,617,617,617
"2021-04-13 00:00:00",965,324,324,324,677,677,677
"2021-04-14 00:00:00",1338,355,355,355,743,743,743
"2021-04-15 00:00:00",1543,390,390,390,815,815,815
"2021-04-16 00:00:00",1582,427,427,427,894,894,894
"2021-04-17 00:00:00",1547,469,469,469,980,980,980
"2021-04-18 00:00:00",1767,514,514,514,1075,1075,1075
"2021-04-19 00:00:00",1390,564,564,564,1179,1179,1179
"2021-04-20 00:00:00",1443,618,618,618,1293,1293,1293
"2021-04-21 00:00:00",1458,678,678,678,1418,1418,1418
"2021-04-22 00:00:00",1470,744,744,744,1555,1555,1555
"2021-04-23 00:00:00",2070,815,815,815,1706,1706,1706
"2021-04-24 00:00:00",2839,894,894,894,1870,1870,1870
"2021-04-25 00:00:00",2438,980,980,980,2051,2051,2051
"2021-04-26 00:00:00",2048,1075,1075,1075,2249,2249,2249
"2021-04-27 00:00:00",2179,1179,1179,1179,2466,2466,2466
"2021-04-28 00:00:00",2012,1293,1293,1293,2704,2704,2704
"2021-04-29 00:00:00",1871,1417,1417,1417,2965,2965,2965
"2021-04-30 00:00:00",1583,1554,1554,1554,3251,3251,3251
"2021-05-01 00:00:00",1891,1704,1704,1704,3564,3564,3564
"2021-05-02 00:00:00",1940,1868,1868,1868,3907,3907,3907
"2021-05-03 00:00:00",2041,2048,2048,2048,4284,4284,4284
"2021-05-04 00:00:00",1763,2245,2245,2245,4696,4696,4696
"2021-05-05 00:00:00",2112,2461,2461,2461,5149,5149,5149
"2021-05-06 00:00:00",1911,2698,2698,2698,5644,5644,5644
"2021-05-07 00:00:00",2044,2957,2957,2957,6187,6187,6187
"2021-05-08 00:00:00",2419,3242,3242,3242,6782,6782,6782
"2021-05-09 00:00:00",2101,3553,3553,3553,7434,7434,7434
"2021-05-10 00:00:00",1630,3895,3895,3895,8149,8149,8149
"2021-05-11 00:00:00",1919,4269,4269,4269,8931,8931,8931
"2021-05-12 00:00:00",1983,4679,4679,4679,9789,9789,9789
"2021-05-13 00:00:00",4887,5128,5128,5128,10728,10728,10728
"2021-05-14 00:00:00",2256,5619,5619,5619,11757,11757,11757
"2021-05-15 00:00:00",3095,6158,6158,6158,12883,12883,12883
"2021-05-16 00:00:00",2302,6747,6747,6747,14117,14117,14117
"2021-05-17 00:00:00",9635,7393,7393,7393,15468,15468,15468
"2021-05-18 00:00:00",2473,8100,8100,8100,16947,16947,16947
"2021-05-19 00:00:00",3394,8874,8874,8874,18565,18565,18565
"2021-05-20 00:00:00",2636,9721,9721,9721,20337,20337,20337
"2021-05-21 00:00:00",3481,10647,10647,10647,22276,22276,22276
"2021-05-22 00:00:00",3052,11661,11661,11661,24397,24397,24397
"2021-05-23 00:00:00",3382,12770,12770,12770,26716,26716,26716
"2021-05-24 00:00:00",2713,13982,13982,13982,29253,29253,29253
