"DateTime","Observed","Predicted Reported","Predicted Reported (low)","Predicted Reported (high)"
"2021-03-01 00:00:00",83,0,0,0
"2021-03-02 00:00:00",84,0,0,0
"2021-03-03 00:00:00",84,0,0,0
"2021-03-04 00:00:00",85,0,0,0
"2021-03-05 00:00:00",85,0,0,0
"2021-03-06 00:00:00",85,0,0,0
"2021-03-07 00:00:00",85,0,0,0
"2021-03-08 00:00:00",85,0,0,0
"2021-03-09 00:00:00",85,0,0,0
"2021-03-10 00:00:00",85,0,0,0
"2021-03-11 00:00:00",85,0,0,0
"2021-03-12 00:00:00",85,0,0,0
"2021-03-13 00:00:00",86,0,0,0
"2021-03-14 00:00:00",86,0,0,0
"2021-03-15 00:00:00",87,1,1,1
"2021-03-16 00:00:00",87,1,1,1
"2021-03-17 00:00:00",88,1,1,1
"2021-03-18 00:00:00",89,1,1,1
"2021-03-19 00:00:00",90,1,1,1
"2021-03-20 00:00:00",90,1,1,1
"2021-03-21 00:00:00",90,1,1,1
"2021-03-22 00:00:00",91,2,2,2
"2021-03-23 00:00:00",92,2,2,2
"2021-03-24 00:00:00",92,2,2,2
"2021-03-25 00:00:00",92,2,2,2
"2021-03-26 00:00:00",92,2,2,2
"2021-03-27 00:00:00",93,3,3,3
"2021-03-28 00:00:00",94,3,3,3
"2021-03-29 00:00:00",94,3,3,3
"2021-03-30 00:00:00",94,4,4,4
"2021-03-31 00:00:00",94,4,4,4
"2021-04-01 00:00:00",94,4,4,4
"2021-04-02 00:00:00",94,5,5,5
"2021-04-03 00:00:00",95,5,5,5
"2021-04-04 00:00:00",95,6,6,6
"2021-04-05 00:00:00",95,6,6,6
"2021-04-06 00:00:00",95,7,7,7
"2021-04-07 00:00:00",95,7,7,7
"2021-04-08 00:00:00",95,8,8,8
"2021-04-09 00:00:00",96,9,9,9
"2021-04-10 00:00:00",97,9,9,9
"2021-04-11 00:00:00",97,10,10,10
"2021-04-12 00:00:00",97,11,11,11
"2021-04-13 00:00:00",97,12,12,12
"2021-04-14 00:00:00",97,13,13,13
"2021-04-15 00:00:00",97,14,14,14
"2021-04-16 00:00:00",97,16,16,16
"2021-04-17 00:00:00",99,17,17,17
"2021-04-18 00:00:00",101,19,19,19
"2021-04-19 00:00:00",104,20,20,20
"2021-04-20 00:00:00",108,22,22,22
"2021-04-21 00:00:00",110,24,24,24
"2021-04-22 00:00:00",117,26,26,26
"2021-04-23 00:00:00",121,28,28,28
"2021-04-24 00:00:00",129,31,31,31
"2021-04-25 00:00:00",140,34,34,34
"2021-04-26 00:00:00",148,37,37,37
"2021-04-27 00:00:00",163,40,40,40
"2021-04-28 00:00:00",178,44,44,44
"2021-04-29 00:00:00",188,47,47,47
"2021-04-30 00:00:00",203,52,52,52
"2021-05-01 00:00:00",224,56,56,56
"2021-05-02 00:00:00",245,62,62,62
"2021-05-03 00:00:00",276,67,67,67
"2021-05-04 00:00:00",303,73,73,73
"2021-05-05 00:00:00",318,80,80,80
"2021-05-06 00:00:00",336,87,87,87
"2021-05-07 00:00:00",363,95,95,95
"2021-05-08 00:00:00",382,104,104,104
"2021-05-09 00:00:00",399,114,114,114
"2021-05-10 00:00:00",421,124,124,124
"2021-05-11 00:00:00",452,135,135,135
"2021-05-12 00:00:00",486,148,148,148
"2021-05-13 00:00:00",518,162,162,162
"2021-05-14 00:00:00",548,177,177,177
"2021-05-15 00:00:00",565,193,193,193
"2021-05-16 00:00:00",589,211,211,211
"2021-05-17 00:00:00",614,231,231,231
"2021-05-18 00:00:00",649,252,252,252
"2021-05-19 00:00:00",678,275,275,275
"2021-05-20 00:00:00",703,301,301,301
"2021-05-21 00:00:00",735,329,329,329
"2021-05-22 00:00:00",759,360,360,360
"2021-05-23 00:00:00",776,394,394,394
"2021-05-24 00:00:00",806,430,430,430
"2021-05-25 00:00:00",832,471,471,471
"2021-05-26 00:00:00",873,515,515,515
"2021-05-27 00:00:00",920,563,563,563
"2021-05-28 00:00:00",954,615,615,615
"2021-05-29 00:00:00",988,673,673,673
"2021-05-30 00:00:00",1012,736,736,736
"2021-05-31 00:00:00",1031,805,805,805
"2021-06-01 00:00:00",1069,880,880,880
"2021-06-02 00:00:00",1107,962,962,962
"2021-06-03 00:00:00",1146,1052,1052,1052
"2021-06-04 00:00:00",1177,1150,1150,1150
"2021-06-05 00:00:00",1213,1258,1258,1258
"2021-06-06 00:00:00",1236,1375,1375,1375
